	tg_avg_paris	tg_anomalies_paris	tg_avg_freiburg	tg_anomalies_freiburg	tg_avg_oslo	tg_anomalies_oslo
1950-01-16	2.85	-1.62	-0.65999997	-1.11	-5.5299997	-1.61
1950-02-14	7.5899997	2.32	3.77	2.44	-2.3999999	1.24
1950-03-16	8.63	0.35999998	5.02	0.28	1.3199999	1.3199999
1950-04-15	9.679999	-1.37	6.17	-2.06	5.5099998	0.66999996
1950-05-16	15.339998999999999	0.63	13.62	1.06	11.65	0.97999996
1950-06-15	20.029999	2.19	17.92	2.0	14.21	-0.55
1950-07-16	20.47	0.55	19.199999	1.31	15.63	-1.05
1950-08-16	18.789998999999998	-0.77	16.869999	-0.39	15.82	0.37
1950-09-15	14.88	-1.76	12.9	-0.91999996	10.69	-0.44
1950-10-16	11.21	-1.43	7.99	-1.37	6.35	0.26999998
1950-11-15	7.79	-0.09999999400000001	4.48	0.089999996	-0.89	-1.91
1950-12-16	0.87	-4.37	-2.71	-4.19	-4.39	-1.8299999
1951-01-16	5.72	1.25	2.08	1.63	-5.47	-1.55
1951-02-14	5.13	-0.14	2.1299999	0.79999995	-2.35	1.29
1951-03-16	6.56	-1.7099999	3.01	-1.73	-3.32	-3.32
1951-04-15	9.79	-1.26	7.509999799999999	-0.71999997	3.1499999	-1.6899998999999999
1951-05-16	12.92	-1.79	11.219999000000001	-1.3399999	9.3	-1.37
1951-06-15	16.65	-1.1899998999999999	14.74	-1.18	14.0	-0.76
1951-07-16	19.119999	-0.79999995	17.109999	-0.78	15.07	-1.61
1951-08-16	17.58	-1.9799999	16.31	-0.95	15.179998999999999	-0.26999998
1951-09-15	16.88	0.24	14.25	0.42999998	12.09	0.96
1951-10-16	10.84	-1.8	7.48	-1.88	6.66	0.58
1951-11-15	9.469999000000001	1.5799999	5.7799997	1.39	2.26	1.24
1951-12-16	4.73	-0.51	1.27	-0.21	0.93	3.49
1952-01-16	3.56	-0.90999997	-0.45999998	-0.90999997	-4.18	-0.26
1952-02-15	3.3	-1.9699999	-1.35	-2.6799998	-2.44	1.1999999
1952-03-16	8.55	0.28	5.08	0.34	-2.32	-2.32
1952-04-15	12.73	1.68	9.769999499999999	1.54	6.24	1.4
1952-05-16	15.96	1.25	12.849999	0.29	10.349999	-0.32
1952-06-15	18.16	0.32	16.63	0.71	12.33	-2.4299998
1952-07-16	20.75	0.83	19.609999	1.7199999	15.969999	-0.71
1952-08-16	19.31	-0.25	18.17	0.90999997	13.95	-1.5
1952-09-15	12.91	-3.73	10.38	-3.4399998	8.5	-2.6299999
1952-10-16	10.809999000000001	-1.8299999	7.71	-1.65	3.8999998999999996	-2.18
1952-11-15	5.0	-2.8899999	2.51	-1.88	-2.01	-3.03
1952-12-16	3.57	-1.67	-0.14999999	-1.63	-3.59	-1.03
1953-01-16	0.84999996	-3.62	-2.74	-3.1899998	-4.68	-0.76
1953-02-14	3.8999998999999996	-1.37	-0.48999998	-1.8199999	-5.12	-1.48
1953-03-16	8.88	0.61	5.29	0.55	2.4299998	2.4299998
1953-04-15	11.19	0.14	9.22	0.98999995	5.08	0.24
1953-05-16	15.86	1.15	13.4	0.84	10.36	-0.31
1953-06-15	16.43	-1.41	14.349998999999999	-1.5699999	17.8	3.04
1953-07-16	18.529999	-1.39	17.18	-0.71	16.119999	-0.56
1953-08-16	19.529999	-0.03	16.869999	-0.39	14.65	-0.79999995
1953-09-15	16.73	0.089999996	13.95	0.13	10.59	-0.53999996
1953-10-16	12.639999000000001	0.0	9.79	0.42999998	8.599999	2.52
1953-11-15	6.3799996	-1.51	3.49	-0.9	3.52	2.5
1953-12-16	7.24	2.0	2.37	0.89	0.42999998	2.99
1954-01-16	1.63	-2.84	-2.9099998	-3.36	-5.7999997	-1.88
1954-02-14	2.12	-3.1499999	-1.77	-3.1	-7.69	-4.0499997
1954-03-16	8.63	0.35999998	5.17	0.42999998	-0.57	-0.57
1954-04-15	9.41	-1.64	5.7999997	-2.4299998	3.6299998999999996	-1.2099999
1954-05-16	14.03	-0.68	11.17	-1.39	11.679999	1.01
1954-06-15	16.67	-1.17	15.36	-0.56	13.66	-1.1
1954-07-16	17.02	-2.8999999	14.62	-3.27	15.17	-1.51
1954-08-16	17.69	-1.87	14.91	-2.35	14.96	-0.48999998
1954-09-15	15.589998999999999	-1.05	13.559999	-0.26	10.58	-0.55
1954-10-16	13.42	0.78	9.29	-0.07	5.33	-0.75
